age_years,sex,year,cultural_background,adjusted_population
4,Male,2015,ATSI,511.4795429
4,Female,2015,ATSI,465.2147232
5,Male,2015,ATSI,512.4020032
5,Female,2015,ATSI,514.1215356
6,Male,2015,ATSI,521.1491554
6,Female,2015,ATSI,527.7307742
7,Male,2015,ATSI,487.2058675
7,Female,2015,ATSI,499.7372153
8,Male,2015,ATSI,539.0671181
8,Female,2015,ATSI,481.9985382
9,Male,2015,ATSI,504.4491173
9,Female,2015,ATSI,458.7166095
10,Male,2015,ATSI,526.4899951
10,Female,2015,ATSI,476.3910799
11,Male,2015,ATSI,439.4764867
11,Female,2015,ATSI,463.8638878
12,Male,2015,ATSI,440.5267847
12,Female,2015,ATSI,461.5821383
13,Male,2015,ATSI,452.9438469
13,Female,2015,ATSI,428.2932706
14,Male,2015,ATSI,475.5483126
14,Female,2015,ATSI,451.0090696
15,Male,2015,ATSI,446.7239168
15,Female,2015,ATSI,423.964082
16,Male,2015,ATSI,533.7686663
16,Female,2015,ATSI,480.7530233
17,Male,2015,ATSI,478.177058
17,Female,2015,ATSI,458.6060916
0,Male,2016,ATSI,430.8515721
0,Female,2016,ATSI,428.1787075
1,Male,2016,ATSI,549.1519693
1,Female,2016,ATSI,428.3468864
2,Male,2016,ATSI,502.7947255
2,Female,2016,ATSI,453.9430172
3,Male,2016,ATSI,511.3311078
3,Female,2016,ATSI,508.3726284
4,Male,2016,ATSI,511.4795429
4,Female,2016,ATSI,465.2147232
5,Male,2016,ATSI,512.4020032
5,Female,2016,ATSI,514.1215356
6,Male,2016,ATSI,521.1491554
6,Female,2016,ATSI,527.7307742
7,Male,2016,ATSI,487.2058675
7,Female,2016,ATSI,499.7372153
8,Male,2016,ATSI,539.0671181
8,Female,2016,ATSI,481.9985382
9,Male,2016,ATSI,504.4491173
9,Female,2016,ATSI,458.7166095
10,Male,2016,ATSI,526.4899951
10,Female,2016,ATSI,476.3910799
11,Male,2016,ATSI,439.4764867
11,Female,2016,ATSI,463.8638878
12,Male,2016,ATSI,440.5267847
12,Female,2016,ATSI,461.5821383
13,Male,2016,ATSI,452.9438469
13,Female,2016,ATSI,428.2932706
14,Male,2016,ATSI,475.5483126
14,Female,2016,ATSI,451.0090696
15,Male,2016,ATSI,446.7239168
15,Female,2016,ATSI,423.964082
16,Male,2016,ATSI,533.7686663
16,Female,2016,ATSI,480.7530233
17,Male,2016,ATSI,478.177058
17,Female,2016,ATSI,458.6060916
0,Male,2017,ATSI,430.8515721
0,Female,2017,ATSI,428.1787075
1,Male,2017,ATSI,549.1519693
1,Female,2017,ATSI,428.3468864
2,Male,2017,ATSI,502.7947255
2,Female,2017,ATSI,453.9430172
3,Male,2017,ATSI,511.3311078
3,Female,2017,ATSI,508.3726284
4,Male,2017,ATSI,511.4795429
4,Female,2017,ATSI,465.2147232
5,Male,2017,ATSI,512.4020032
5,Female,2017,ATSI,514.1215356
6,Male,2017,ATSI,521.1491554
6,Female,2017,ATSI,527.7307742
7,Male,2017,ATSI,487.2058675
7,Female,2017,ATSI,499.7372153
