age_years,sex,postcode,year,cultural_background,population
,,"5075, SA",,Non-Indigenous,56
,,,,Indigenous,0
,,"5076, SA",,Non-Indigenous,52
,,,,Indigenous,0
,,"5081, SA",,Non-Indigenous,40
,,,,Indigenous,0
,,"5082, SA",,Non-Indigenous,70
,,,,Indigenous,0
,,"5083, SA",,Non-Indigenous,40
,,,,Indigenous,0
,,"5084, SA",,Non-Indigenous,64
,,,,Indigenous,3
,,"5085, SA",,Non-Indigenous,160
,,,,Indigenous,0
,,"5086, SA",,Non-Indigenous,117
,,,,Indigenous,3
,,"5087, SA",,Non-Indigenous,73
,,,,Indigenous,0
,,"5088, SA",,Non-Indigenous,23
,,,,Indigenous,0
,,"5089, SA",,Non-Indigenous,34
,,,,Indigenous,0
,,"5090, SA",,Non-Indigenous,43
,,,,Indigenous,0
,,"5091, SA",,Non-Indigenous,40
,,,,Indigenous,0
,,"5092, SA",,Non-Indigenous,65
,,,,Indigenous,0
,,"5093, SA",,Non-Indigenous,43
,,,,Indigenous,0
,,"5094, SA",,Non-Indigenous,4
,,,,Indigenous,0
,,"5095, SA",,Non-Indigenous,128
,,,,Indigenous,3
,,"5096, SA",,Non-Indigenous,80
,,,,Indigenous,4
,,"5097, SA",,Non-Indigenous,77
,,,,Indigenous,0
,,"5098, SA",,Non-Indigenous,66
,,,,Indigenous,0
,,"5106, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5107, SA",,Non-Indigenous,116
,,,,Indigenous,7
,,"5108, SA",,Non-Indigenous,239
,,,,Indigenous,5
,,"5109, SA",,Non-Indigenous,109
,,,,Indigenous,8
,,"5110, SA",,Non-Indigenous,46
,,,,Indigenous,0
